lon	lat	pop	x_idx	y_idx
-87.6637456152	41.820842799	0	18	1
-87.6608021349	41.820842799	0	19	1
-87.6578586547	41.820842799	0	20	1
-87.6549151744	41.820842799	0	21	1
-87.6519716941	41.820842799	0	22	1
-87.6490282139	41.820842799	0	23	1
-87.6460847336	41.820842799	0	24	1
-87.6431412534	41.820842799	0	25	1
-87.6401977731	41.820842799	74	26	1
-87.6372542928	41.820842799	36	27	1
-87.6343108126	41.820842799	0	28	1
-87.6313673323	41.820842799	5	29	1
-87.6284238521	41.820842799	335	30	1
-87.6254803718	41.820842799	15	31	1
-87.6225368915	41.820842799	83	32	1
-87.6195934113	41.820842799	379	33	1
-87.616649931	41.820842799	189	34	1
-87.6137064508	41.820842799	771	35	1
-87.6107629705	41.820842799	155	36	1
-87.6078194902	41.820842799	169	37	1
-87.60487601	41.820842799	374	38	1
-87.6019325297	41.820842799	762	39	1
-87.5989890495	41.820842799	0	40	1
-87.7167282599	41.8186493317	0	0	2
-87.7137847796	41.8186493317	0	1	2
-87.7108412993	41.8186493317	0	2	2
-87.7078978191	41.8186493317	0	3	2
-87.7049543388	41.8186493317	27	4	2
-87.7020108586	41.8186493317	775	5	2
-87.6990673783	41.8186493317	1021	6	2
-87.696123898	41.8186493317	319	7	2
-87.6931804178	41.8186493317	443	8	2
-87.6902369375	41.8186493317	759	9	2
-87.6872934573	41.8186493317	1376	10	2
-87.684349977	41.8186493317	471	11	2
-87.6814064967	41.8186493317	30	12	2
-87.6784630165	41.8186493317	0	13	2
-87.6755195362	41.8186493317	0	14	2
-87.672576056	41.8186493317	0	15	2
-87.6696325757	41.8186493317	0	16	2
-87.6666890954	41.8186493317	0	17	2
-87.6637456152	41.8186493317	0	18	2
-87.6608021349	41.8186493317	0	19	2
-87.6578586547	41.8186493317	0	20	2
-87.6549151744	41.8186493317	0	21	2
-87.6519716941	41.8186493317	0	22	2
-87.6490282139	41.8186493317	0	23	2
-87.6460847336	41.8186493317	58	24	2
-87.6431412534	41.8186493317	82	25	2
-87.6401977731	41.8186493317	218	26	2
-87.6372542928	41.8186493317	97	27	2
-87.6343108126	41.8186493317	157	28	2
-87.6313673323	41.8186493317	43	29	2
-87.6284238521	41.8186493317	0	30	2
-87.6254803718	41.8186493317	80	31	2
-87.6225368915	41.8186493317	492	32	2
-87.6195934113	41.8186493317	465	33	2
-87.616649931	41.8186493317	771	34	2
-87.6137064508	41.8186493317	167	35	2
-87.6107629705	41.8186493317	275	36	2
-87.6078194902	41.8186493317	708	37	2
-87.60487601	41.8186493317	250	38	2
-87.6019325297	41.8186493317	387	39	2
-87.5989890495	41.8186493317	17	40	2
-87.7167282599	41.8164558643	0	0	3
-87.7137847796	41.8164558643	0	1	3
-87.7108412993	41.8164558643	0	2	3
-87.7078978191	41.8164558643	0	3	3
-87.7049543388	41.8164558643	155	4	3
-87.7020108586	41.8164558643	568	5	3
-87.6990673783	41.8164558643	564	6	3
-87.696123898	41.8164558643	653	7	3
-87.6931804178	41.8164558643	704	8	3
-87.6902369375	41.8164558643	678	9	3
-87.6872934573	41.8164558643	967	10	3
-87.684349977	41.8164558643	150	11	3
-87.6814064967	41.8164558643	0	12	3
-87.6784630165	41.8164558643	0	13	3
-87.6755195362	41.8164558643	0	14	3
-87.672576056	41.8164558643	0	15	3
-87.6696325757	41.8164558643	124	16	3
-87.6666890954	41.8164558643	61	17	3
-87.6637456152	41.8164558643	0	18	3
-87.6608021349	41.8164558643	0	19	3
-87.6578586547	41.8164558643	0	20	3
-87.6549151744	41.8164558643	0	21	3
-87.6519716941	41.8164558643	0	22	3
-87.6490282139	41.8164558643	0	23	3
-87.6460847336	41.8164558643	150	24	3
-87.6431412534	41.8164558643	408	25	3
-87.6401977731	41.8164558643	381	26	3
-87.6372542928	41.8164558643	149	27	3
-87.6343108126	41.8164558643	505	28	3
-87.6313673323	41.8164558643	122	29	3
-87.6284238521	41.8164558643	0	30	3
-87.6254803718	41.8164558643	528	31	3
-87.6225368915	41.8164558643	749	32	3
-87.6195934113	41.8164558643	358	33	3
-87.616649931	41.8164558643	395	34	3
-87.6137064508	41.8164558643	458	35	3
-87.6107629705	41.8164558643	449	36	3
-87.6078194902	41.8164558643	185	37	3
-87.60487601	41.8164558643	245	38	3
-87.6019325297	41.8164558643	198	39	3
-87.5989890495	41.8164558643	456	40	3
-87.7167282599	41.814262397	8	0	4
-87.7137847796	41.814262397	5	1	4
-87.7108412993	41.814262397	505	2	4
-87.7078978191	41.814262397	348	3	4
-87.7049543388	41.814262397	408	4	4
-87.7020108586	41.814262397	414	5	4
-87.6990673783	41.814262397	542	6	4
-87.696123898	41.814262397	627	7	4
-87.6931804178	41.814262397	531	8	4
-87.6902369375	41.814262397	610	9	4
-87.6872934573	41.814262397	622	10	4
-87.684349977	41.814262397	285	11	4
-87.6814064967	41.814262397	0	12	4
-87.6784630165	41.814262397	0	13	4
-87.6755195362	41.814262397	0	14	4
-87.672576056	41.814262397	378	15	4
-87.6696325757	41.814262397	838	16	4
-87.6666890954	41.814262397	648	17	4
-87.6637456152	41.814262397	0	18	4
-87.6608021349	41.814262397	0	19	4
-87.6578586547	41.814262397	0	20	4
-87.6549151744	41.814262397	0	21	4
-87.6519716941	41.814262397	0	22	4
-87.6490282139	41.814262397	0	23	4
-87.6460847336	41.814262397	58	24	4
-87.6431412534	41.814262397	460	25	4
-87.6401977731	41.814262397	443	26	4
-87.6372542928	41.814262397	172	27	4
-87.6343108126	41.814262397	192	28	4
-87.6313673323	41.814262397	192	29	4
-87.6284238521	41.814262397	0	30	4
-87.6254803718	41.814262397	3	31	4
-87.6225368915	41.814262397	239	32	4
-87.6195934113	41.814262397	342	33	4
-87.616649931	41.814262397	270	34	4
-87.6137064508	41.814262397	225	35	4
-87.6107629705	41.814262397	26	36	4
-87.6078194902	41.814262397	25	37	4
-87.60487601	41.814262397	298	38	4
-87.6019325297	41.814262397	145	39	4
-87.5989890495	41.814262397	456	40	4
-87.7167282599	41.8120689297	15	0	5
-87.7137847796	41.8120689297	0	1	5
-87.7108412993	41.8120689297	429	2	5
-87.7078978191	41.8120689297	372	3	5
-87.7049543388	41.8120689297	264	4	5
-87.7020108586	41.8120689297	763	5	5
-87.6990673783	41.8120689297	520	6	5
-87.696123898	41.8120689297	1184	7	5
-87.6931804178	41.8120689297	1281	8	5
-87.6902369375	41.8120689297	1395	9	5
-87.6872934573	41.8120689297	1162	10	5
-87.684349977	41.8120689297	94	11	5
-87.6814064967	41.8120689297	0	12	5
-87.6784630165	41.8120689297	0	13	5
-87.6755195362	41.8120689297	0	14	5
-87.672576056	41.8120689297	685	15	5
-87.6696325757	41.8120689297	1569	16	5
-87.6666890954	41.8120689297	1116	17	5
-87.6637456152	41.8120689297	507	18	5
-87.6608021349	41.8120689297	62	19	5
-87.6578586547	41.8120689297	0	20	5
-87.6549151744	41.8120689297	0	21	5
-87.6519716941	41.8120689297	0	22	5
-87.6490282139	41.8120689297	0	23	5
-87.6460847336	41.8120689297	108	24	5
-87.6431412534	41.8120689297	337	25	5
-87.6401977731	41.8120689297	420	26	5
-87.6372542928	41.8120689297	143	27	5
-87.6343108126	41.8120689297	173	28	5
-87.6313673323	41.8120689297	99	29	5
-87.6284238521	41.8120689297	0	30	5
-87.6254803718	41.8120689297	178	31	5
-87.6225368915	41.8120689297	328	32	5
-87.6195934113	41.8120689297	314	33	5
-87.616649931	41.8120689297	492	34	5
-87.6137064508	41.8120689297	540	35	5
-87.6107629705	41.8120689297	134	36	5
-87.6078194902	41.8120689297	150	37	5
-87.60487601	41.8120689297	897	38	5
-87.6019325297	41.8120689297	229	39	5
-87.5989890495	41.8120689297	281	40	5
-87.7167282599	41.8098754623	454	0	6
-87.7137847796	41.8098754623	0	1	6
-87.7108412993	41.8098754623	699	2	6
-87.7078978191	41.8098754623	970	3	6
-87.7049543388	41.8098754623	819	4	6
-87.7020108586	41.8098754623	1331	5	6
-87.6990673783	41.8098754623	1276	6	6
-87.696123898	41.8098754623	633	7	6
-87.6931804178	41.8098754623	533	8	6
-87.6902369375	41.8098754623	679	9	6
-87.6872934573	41.8098754623	1277	10	6
-87.684349977	41.8098754623	28	11	6
-87.6814064967	41.8098754623	0	12	6
-87.6784630165	41.8098754623	0	13	6
-87.6755195362	41.8098754623	102	14	6
-87.672576056	41.8098754623	694	15	6
-87.6696325757	41.8098754623	615	16	6
-87.6666890954	41.8098754623	560	17	6
-87.6637456152	41.8098754623	39	18	6
-87.6608021349	41.8098754623	100	19	6
-87.6578586547	41.8098754623	0	20	6
-87.6549151744	41.8098754623	0	21	6
-87.6519716941	41.8098754623	0	22	6
-87.6490282139	41.8098754623	0	23	6
-87.6460847336	41.8098754623	57	24	6
-87.6431412534	41.8098754623	261	25	6
-87.6401977731	41.8098754623	341	26	6
-87.6372542928	41.8098754623	45	27	6
-87.6343108126	41.8098754623	146	28	6
-87.6313673323	41.8098754623	36	29	6
-87.6284238521	41.8098754623	33	30	6
-87.6254803718	41.8098754623	22	31	6
-87.6225368915	41.8098754623	134	32	6
-87.6195934113	41.8098754623	171	33	6
-87.616649931	41.8098754623	81	34	6
-87.6137064508	41.8098754623	287	35	6
-87.6107629705	41.8098754623	125	36	6
-87.6078194902	41.8098754623	232	37	6
-87.60487601	41.8098754623	269	38	6
-87.6019325297	41.8098754623	1460	39	6
-87.5989890495	41.8098754623	194	40	6
-87.7167282599	41.807681995	871	0	7
-87.7137847796	41.807681995	3	1	7
-87.7108412993	41.807681995	63	2	7
-87.7078978191	41.807681995	0	3	7
-87.7049543388	41.807681995	0	4	7
-87.7020108586	41.807681995	71	5	7
-87.6990673783	41.807681995	46	6	7
-87.696123898	41.807681995	12	7	7
-87.6931804178	41.807681995	110	8	7
-87.6902369375	41.807681995	432	9	7
-87.6872934573	41.807681995	567	10	7
-87.684349977	41.807681995	166	11	7
-87.6814064967	41.807681995	230	12	7
-87.6784630165	41.807681995	0	13	7
-87.6755195362	41.807681995	766	14	7
-87.672576056	41.807681995	758	15	7
-87.6696325757	41.807681995	687	16	7
-87.6666890954	41.807681995	430	17	7
-87.6637456152	41.807681995	306	18	7
-87.6608021349	41.807681995	570	19	7
-87.6578586547	41.807681995	610	20	7
-87.6549151744	41.807681995	227	21	7
-87.6519716941	41.807681995	199	22	7
-87.6490282139	41.807681995	0	23	7
-87.6460847336	41.807681995	27	24	7
-87.6431412534	41.807681995	267	25	7
-87.6401977731	41.807681995	116	26	7
-87.6372542928	41.807681995	0	27	7
-87.6343108126	41.807681995	229	28	7
-87.6313673323	41.807681995	0	29	7
-87.6284238521	41.807681995	0	30	7
-87.6254803718	41.807681995	153	31	7
-87.6225368915	41.807681995	266	32	7
-87.6195934113	41.807681995	567	33	7
-87.616649931	41.807681995	789	34	7
-87.6137064508	41.807681995	858	35	7
-87.6107629705	41.807681995	574	36	7
-87.6078194902	41.807681995	525	37	7
-87.60487601	41.807681995	831	38	7
-87.6019325297	41.807681995	403	39	7
-87.5989890495	41.807681995	794	40	7
-87.7167282599	41.8054885277	423	0	8
-87.7137847796	41.8054885277	0	1	8
-87.7108412993	41.8054885277	0	2	8
-87.7078978191	41.8054885277	0	3	8
-87.7049543388	41.8054885277	0	4	8
-87.7020108586	41.8054885277	0	5	8
-87.6990673783	41.8054885277	0	6	8
-87.696123898	41.8054885277	0	7	8
-87.6931804178	41.8054885277	0	8	8
-87.6902369375	41.8054885277	7	9	8
-87.6872934573	41.8054885277	0	10	8
-87.684349977	41.8054885277	280	11	8
-87.6814064967	41.8054885277	4	12	8
-87.6784630165	41.8054885277	0	13	8
-87.6755195362	41.8054885277	726	14	8
-87.672576056	41.8054885277	989	15	8
-87.6696325757	41.8054885277	855	16	8
-87.6666890954	41.8054885277	708	17	8
-87.6637456152	41.8054885277	533	18	8
-87.6608021349	41.8054885277	826	19	8
-87.6578586547	41.8054885277	791	20	8
-87.6549151744	41.8054885277	399	21	8
-87.6519716941	41.8054885277	0	22	8
-87.6490282139	41.8054885277	5	23	8
-87.6460847336	41.8054885277	8	24	8
-87.6431412534	41.8054885277	338	25	8
-87.6401977731	41.8054885277	124	26	8
-87.6372542928	41.8054885277	0	27	8
-87.6343108126	41.8054885277	172	28	8
-87.6313673323	41.8054885277	0	29	8
-87.6284238521	41.8054885277	0	30	8
-87.6254803718	41.8054885277	0	31	8
-87.6225368915	41.8054885277	808	32	8
-87.6195934113	41.8054885277	88	33	8
-87.616649931	41.8054885277	312	34	8
-87.6137064508	41.8054885277	506	35	8
-87.6107629705	41.8054885277	416	36	8
-87.6078194902	41.8054885277	217	37	8
-87.60487601	41.8054885277	684	38	8
-87.6019325297	41.8054885277	266	39	8
-87.5989890495	41.8054885277	128	40	8
-87.7167282599	41.8032950604	4	0	9
-87.7137847796	41.8032950604	5	1	9
-87.7108412993	41.8032950604	0	2	9
-87.7078978191	41.8032950604	0	3	9
-87.7049543388	41.8032950604	222	4	9
-87.7020108586	41.8032950604	0	5	9
-87.6990673783	41.8032950604	0	6	9
-87.696123898	41.8032950604	0	7	9
-87.6931804178	41.8032950604	0	8	9
-87.6902369375	41.8032950604	188	9	9
-87.6872934573	41.8032950604	424	10	9
-87.684349977	41.8032950604	274	11	9
-87.6814064967	41.8032950604	569	12	9
-87.6784630165	41.8032950604	494	13	9
-87.6755195362	41.8032950604	938	14	9
-87.672576056	41.8032950604	859	15	9
