lon	lat	pop	x_idx	y_idx
-87.6478180704	41.9640156319	2	36	4
-87.644793908	41.9640156319	0	37	4
-87.6417697455	41.9640156319	0	38	4
-87.6387455831	41.9640156319	0	39	4
-87.6357214206	41.9640156319	0	40	4
-87.7566879188	41.9617673279	1209	0	5
-87.7536637563	41.9617673279	505	1	5
-87.7506395939	41.9617673279	280	2	5
-87.7476154314	41.9617673279	192	3	5
-87.744591269	41.9617673279	68	4	5
-87.7415671065	41.9617673279	179	5	5
-87.7385429441	41.9617673279	198	6	5
-87.7355187816	41.9617673279	289	7	5
-87.7324946191	41.9617673279	304	8	5
-87.7294704567	41.9617673279	429	9	5
-87.7264462942	41.9617673279	505	10	5
-87.7234221318	41.9617673279	479	11	5
-87.7203979693	41.9617673279	1085	12	5
-87.7173738069	41.9617673279	1054	13	5
-87.7143496444	41.9617673279	853	14	5
-87.711325482	41.9617673279	519	15	5
-87.7083013195	41.9617673279	493	16	5
-87.7052771571	41.9617673279	711	17	5
-87.7022529946	41.9617673279	321	18	5
-87.6992288322	41.9617673279	583	19	5
-87.6962046697	41.9617673279	174	20	5
-87.6931805072	41.9617673279	325	21	5
-87.6901563448	41.9617673279	513	22	5
-87.6871321823	41.9617673279	152	23	5
-87.6841080199	41.9617673279	228	24	5
-87.6810838574	41.9617673279	527	25	5
-87.678059695	41.9617673279	577	26	5
-87.6750355325	41.9617673279	453	27	5
-87.6720113701	41.9617673279	327	28	5
-87.6689872076	41.9617673279	1270	29	5
-87.6659630452	41.9617673279	577	30	5
-87.6629388827	41.9617673279	593	31	5
-87.6599147203	41.9617673279	705	32	5
-87.6568905578	41.9617673279	0	33	5
-87.6538663953	41.9617673279	1188	34	5
-87.6508422329	41.9617673279	801	35	5
-87.6478180704	41.9617673279	1037	36	5
-87.644793908	41.9617673279	3	37	5
-87.6417697455	41.9617673279	0	38	5
-87.6387455831	41.9617673279	0	39	5
-87.6357214206	41.9617673279	0	40	5
-87.7566879188	41.9595190239	1540	0	6
-87.7536637563	41.9595190239	437	1	6
-87.7506395939	41.9595190239	297	2	6
-87.7476154314	41.9595190239	357	3	6
-87.744591269	41.9595190239	9	4	6
-87.7415671065	41.9595190239	111	5	6
-87.7385429441	41.9595190239	185	6	6
-87.7355187816	41.9595190239	191	7	6
-87.7324946191	41.9595190239	405	8	6
-87.7294704567	41.9595190239	709	9	6
-87.7264462942	41.9595190239	343	10	6
-87.7234221318	41.9595190239	356	11	6
-87.7203979693	41.9595190239	465	12	6
-87.7173738069	41.9595190239	572	13	6
-87.7143496444	41.9595190239	441	14	6
-87.711325482	41.9595190239	1151	15	6
-87.7083013195	41.9595190239	865	16	6
-87.7052771571	41.9595190239	1268	17	6
-87.7022529946	41.9595190239	1036	18	6
-87.6992288322	41.9595190239	667	19	6
-87.6962046697	41.9595190239	0	20	6
-87.6931805072	41.9595190239	145	21	6
-87.6901563448	41.9595190239	473	22	6
-87.6871321823	41.9595190239	424	23	6
-87.6841080199	41.9595190239	498	24	6
-87.6810838574	41.9595190239	391	25	6
-87.678059695	41.9595190239	853	26	6
-87.6750355325	41.9595190239	448	27	6
-87.6720113701	41.9595190239	309	28	6
-87.6689872076	41.9595190239	614	29	6
-87.6659630452	41.9595190239	341	30	6
-87.6629388827	41.9595190239	0	31	6
-87.6599147203	41.9595190239	0	32	6
-87.6568905578	41.9595190239	703	33	6
-87.6538663953	41.9595190239	1285	34	6
-87.6508422329	41.9595190239	173	35	6
-87.6478180704	41.9595190239	1494	36	6
-87.644793908	41.9595190239	0	37	6
-87.6417697455	41.9595190239	0	38	6
-87.6387455831	41.9595190239	0	39	6
-87.6357214206	41.9595190239	0	40	6
-87.7566879188	41.9572707199	868	0	7
-87.7536637563	41.9572707199	282	1	7
-87.7506395939	41.9572707199	594	2	7
-87.7476154314	41.9572707199	277	3	7
-87.744591269	41.9572707199	15	4	7
-87.7415671065	41.9572707199	193	5	7
-87.7385429441	41.9572707199	0	6	7
-87.7355187816	41.9572707199	202	7	7
-87.7324946191	41.9572707199	698	8	7
-87.7294704567	41.9572707199	1210	9	7
-87.7264462942	41.9572707199	392	10	7
-87.7234221318	41.9572707199	556	11	7
-87.7203979693	41.9572707199	801	12	7
-87.7173738069	41.9572707199	1000	13	7
-87.7143496444	41.9572707199	1292	14	7
-87.711325482	41.9572707199	627	15	7
-87.7083013195	41.9572707199	590	16	7
-87.7052771571	41.9572707199	596	17	7
-87.7022529946	41.9572707199	511	18	7
-87.6992288322	41.9572707199	565	19	7
-87.6962046697	41.9572707199	0	20	7
-87.6931805072	41.9572707199	605	21	7
-87.6901563448	41.9572707199	549	22	7
-87.6871321823	41.9572707199	508	23	7
-87.6841080199	41.9572707199	577	24	7
-87.6810838574	41.9572707199	513	25	7
-87.678059695	41.9572707199	589	26	7
-87.6750355325	41.9572707199	198	27	7
-87.6720113701	41.9572707199	208	28	7
-87.6689872076	41.9572707199	436	29	7
-87.6659630452	41.9572707199	532	30	7
-87.6629388827	41.9572707199	11	31	7
-87.6599147203	41.9572707199	0	32	7
-87.6568905578	41.9572707199	994	33	7
-87.6538663953	41.9572707199	1532	34	7
-87.6508422329	41.9572707199	1842	35	7
-87.6478180704	41.9572707199	1407	36	7
-87.644793908	41.9572707199	0	37	7
-87.6417697455	41.9572707199	0	38	7
-87.6387455831	41.9572707199	0	39	7
-87.6357214206	41.9572707199	0	40	7
-87.7566879188	41.9550224159	821	0	8
-87.7536637563	41.9550224159	389	1	8
-87.7506395939	41.9550224159	595	2	8
-87.7476154314	41.9550224159	533	3	8
-87.744591269	41.9550224159	0	4	8
-87.7415671065	41.9550224159	464	5	8
-87.7385429441	41.9550224159	436	6	8
-87.7355187816	41.9550224159	264	7	8
-87.7324946191	41.9550224159	42	8	8
-87.7294704567	41.9550224159	721	9	8
-87.7264462942	41.9550224159	258	10	8
-87.7234221318	41.9550224159	491	11	8
-87.7203979693	41.9550224159	220	12	8
-87.7173738069	41.9550224159	546	13	8
